# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 ElPotential
# 5 ElField_x
# 6 ElField_y
# 7 ElField_z
# 8 Polarization_x
# 9 Polarization_y
# 10 Polarization_z
# x Ec Ev ElPotential ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z 
52.7229 -0.00916441 -3.44677 2.73644 1.71247e-05 0 0 0.024583 1.14784e-17 -0.0153843 
53.0636 -0.00916441 -3.44677 2.73644 2.02685e-05 0 0 0.024583 1.14784e-17 -0.0153843 
53.4032 -0.00916441 -3.44677 2.73644 2.39733e-05 0 0 0.024583 1.14784e-17 -0.0153843 
53.7419 -0.00916441 -3.44677 2.73644 2.83376e-05 0 0 0.024583 1.14784e-17 -0.0153843 
54.0795 -0.00916441 -3.44677 2.73644 3.34787e-05 0 0 0.024583 1.14784e-17 -0.0153843 
54.4161 -0.00916441 -3.44677 2.73644 3.95383e-05 0 0 0.024583 1.14784e-17 -0.0153843 
54.7518 -0.00916441 -3.44677 2.73644 4.66766e-05 0 0 0.024583 1.14784e-17 -0.0153843 
55.0864 -0.00916441 -3.44677 2.73644 5.50477e-05 0 0 0.024583 1.14784e-17 -0.0153843 
55.42 -0.00916441 -3.44677 2.73644 6.48861e-05 0 0 0.024583 1.14784e-17 -0.0153843 
55.7526 -0.00916441 -3.44677 2.73644 7.6475e-05 0 0 0.024583 1.14784e-17 -0.0153843 
56.0843 -0.00916441 -3.44677 2.73644 9.00859e-05 0 0 0.024583 1.14784e-17 -0.0153843 
56.4149 -0.00916441 -3.44677 2.73644 0.000106052 0 0 0.024583 1.14784e-17 -0.0153843 
56.7445 -0.00916441 -3.44677 2.73644 0.000124791 0 0 0.024583 1.14784e-17 -0.0153843 
57.0732 -0.00916441 -3.44677 2.73644 0.000146779 0 0 0.024583 1.14784e-17 -0.0153843 
57.4009 -0.00916441 -3.44677 2.73644 0.000172552 0 0 0.024583 1.14784e-17 -0.0153843 
57.7276 -0.00916441 -3.44677 2.73644 0.000202745 0 0 0.024583 1.14784e-17 -0.0153843 
58.0533 -0.00916441 -3.44677 2.73644 0.000238116 0 0 0.024583 1.14784e-17 -0.0153843 
58.378 -0.00916441 -3.44677 2.73644 0.000279528 0 0 0.024583 1.14784e-17 -0.0153843 
58.7018 -0.00916441 -3.44677 2.73644 0.000327961 0 0 0.024583 1.14784e-17 -0.0153843 
59.0246 -0.00916441 -3.44677 2.73644 0.000384624 0 0 0.024583 1.14784e-17 -0.0153843 
59.3465 -0.00916441 -3.44677 2.73644 0.000450884 0 0 0.024583 1.14784e-17 -0.0153843 
59.6673 -0.00916441 -3.44677 2.73644 0.000528289 0 0 0.024583 1.14784e-17 -0.0153843 
59.9873 -0.00916441 -3.44677 2.73644 0.000618683 0 0 0.024583 1.14784e-17 -0.0153843 
60.3062 -0.00916441 -3.44677 2.73644 0.000724222 0 0 0.024583 1.14784e-17 -0.0153843 
60.6242 -0.00916441 -3.44677 2.73644 0.000847361 0 0 0.024583 1.14784e-17 -0.0153843 
60.9413 -0.00916441 -3.44677 2.73644 0.000990958 0 0 0.024583 1.14784e-17 -0.0153843 
61.2574 -0.00916441 -3.44677 2.73644 0.00115834 0 0 0.024583 1.14784e-17 -0.0153843 
61.5726 -0.00916441 -3.44677 2.73644 0.00135338 0 0 0.024583 1.14784e-17 -0.0153843 
61.8868 -0.00916441 -3.44677 2.73644 0.00158052 0 0 0.024583 1.14784e-17 -0.0153843 
62.2001 -0.00916441 -3.44677 2.73644 0.00184492 0 0 0.024583 1.14784e-17 -0.0153843 
62.5124 -0.00916441 -3.44677 2.73644 0.00215257 0 0 0.024583 1.14784e-17 -0.0153843 
62.8239 -0.00916441 -3.44677 2.73644 0.00251035 0 0 0.024583 1.14784e-17 -0.0153843 
63.1343 -0.00916441 -3.44677 2.73644 0.00292628 0 0 0.024583 1.14784e-17 -0.0153843 
63.4439 -0.0091644 -3.44677 2.73644 0.00340955 0 0 0.024583 1.14784e-17 -0.0153843 
63.7525 -0.0091644 -3.44677 2.73644 0.00397083 0 0 0.024583 1.14784e-17 -0.0153843 
64.0602 -0.0091644 -3.44677 2.73644 0.00462239 0 0 0.024583 1.14784e-17 -0.0153843 
64.367 -0.0091644 -3.44677 2.73644 0.00537843 0 0 0.024583 1.14784e-17 -0.0153843 
64.6729 -0.0091644 -3.44677 2.73644 0.00625531 0 0 0.024583 1.14784e-17 -0.0153843 
64.9778 -0.0091644 -3.44677 2.73644 0.00727187 0 0 0.024583 1.14784e-17 -0.0153843 
65.2819 -0.0091644 -3.44677 2.73644 0.00844983 0 0 0.024583 1.14784e-17 -0.0153843 
65.585 -0.0091644 -3.44677 2.73644 0.00981419 0 0 0.024583 1.14784e-17 -0.0153843 
65.8872 -0.0091644 -3.44677 2.73644 0.0113938 0 0 0.024583 1.14784e-17 -0.0153843 
66.1886 -0.0091644 -3.44677 2.73644 0.0132217 0 0 0.024583 1.14784e-17 -0.0153843 
66.489 -0.0091644 -3.44677 2.73644 0.0153361 0 0 0.024583 1.14784e-17 -0.0153843 
66.7885 -0.0091644 -3.44677 2.73644 0.0177807 0 0 0.024583 1.14784e-17 -0.0153843 
67.0871 -0.0091644 -3.44677 2.73644 0.0206059 0 0 0.024583 1.14784e-17 -0.0153843 
67.3849 -0.0091644 -3.44677 2.73644 0.0238695 0 0 0.024583 1.14784e-17 -0.0153843 
67.6817 -0.0091644 -3.44677 2.73644 0.0276378 0 0 0.024583 1.14784e-17 -0.0153843 
67.9777 -0.0091644 -3.44677 2.73644 0.0319871 0 0 0.024583 1.14784e-17 -0.0153843 
68.2728 -0.0091644 -3.44677 2.73644 0.0370047 0 0 0.024583 1.14784e-17 -0.0153843 
68.5669 -0.0091644 -3.44677 2.73644 0.0427908 0 0 0.024583 1.14784e-17 -0.0153843 
68.8603 -0.0091644 -3.44677 2.73644 0.0494601 0 0 0.024583 1.14784e-17 -0.0153843 
69.1527 -0.00916439 -3.44677 2.73644 0.0571441 0 0 0.024583 1.14784e-17 -0.0153843 
69.4443 -0.00916439 -3.44677 2.73644 0.0659935 0 0 0.024583 1.14784e-17 -0.0153843 
69.7349 -0.00916439 -3.44677 2.73644 0.0761805 0 0 0.024583 1.14784e-17 -0.0153843 
70.0248 -0.00916439 -3.44677 2.73644 0.0879024 0 0 0.024583 1.14784e-17 -0.0153843 
70.3137 -0.00916439 -3.44677 2.73644 0.101385 0 0 0.024583 1.14784e-17 -0.0153843 
70.6018 -0.00916438 -3.44677 2.73644 0.116885 0 0 0.024583 1.14784e-17 -0.0153843 
70.889 -0.00916438 -3.44677 2.73644 0.134698 0 0 0.024583 1.14784e-17 -0.0153843 
71.1754 -0.00916437 -3.44677 2.73644 0.15516 0 0 0.024583 1.14784e-17 -0.0153843 
71.4609 -0.00916437 -3.44677 2.73644 0.178654 0 0 0.024583 1.14784e-17 -0.0153843 
71.7456 -0.00916436 -3.44677 2.73644 0.20562 0 0 0.024583 1.14784e-17 -0.0153843 
72.0294 -0.00916436 -3.44677 2.73644 0.236557 0 0 0.024583 1.14784e-17 -0.0153843 
72.3123 -0.00916435 -3.44677 2.73644 0.272034 0 0 0.024583 1.14784e-17 -0.0153843 
72.5945 -0.00916434 -3.44677 2.73644 0.312702 0 0 0.024583 1.14784e-17 -0.0153843 
72.8757 -0.00916433 -3.44677 2.73644 0.3593 0 0 0.024583 1.14784e-17 -0.0153843 
73.1562 -0.00916432 -3.44677 2.73644 0.41267 0 0 0.024583 1.14784e-17 -0.0153843 
73.4357 -0.00916431 -3.44677 2.73644 0.473773 0 0 0.024583 1.14784e-17 -0.0153843 
73.7145 -0.0091643 -3.44677 2.73644 0.543698 0 0 0.024583 1.14784e-17 -0.0153843 
73.9924 -0.00916428 -3.44677 2.73644 0.623688 0 0 0.024583 1.14784e-17 -0.0153843 
74.2695 -0.00916426 -3.44677 2.73644 0.715152 0 0 0.024583 1.14784e-17 -0.0153843 
74.5458 -0.00916424 -3.44677 2.73644 0.819695 0 0 0.024583 1.14784e-17 -0.0153843 
74.8212 -0.00916422 -3.44677 2.73644 0.939138 0 0 0.024583 1.14784e-17 -0.0153843 
75.0958 -0.00916419 -3.44677 2.73644 1.07555 0 0 0.024583 1.14784e-17 -0.0153843 
75.3696 -0.00916416 -3.44677 2.73644 1.23127 0 0 0.024583 1.14784e-17 -0.0153843 
75.6426 -0.00916412 -3.44677 2.73644 1.40898 0 0 0.024583 1.14784e-17 -0.0153843 
75.9147 -0.00916408 -3.44677 2.73644 1.61168 0 0 0.024583 1.14784e-17 -0.0153843 
76.1861 -0.00916403 -3.44677 2.73644 1.84281 0 0 0.024583 1.14784e-17 -0.0153843 
76.4566 -0.00916398 -3.44677 2.73644 2.10623 0 0 0.024583 1.14784e-17 -0.0153843 
76.7263 -0.00916392 -3.44677 2.73644 2.40636 0 0 0.024583 1.14784e-17 -0.0153843 
76.9952 -0.00916385 -3.44677 2.73644 2.74815 0 0 0.024583 1.14784e-17 -0.0153843 
77.2634 -0.00916377 -3.44677 2.73644 3.13725 0 0 0.024583 1.14784e-17 -0.0153843 
77.5307 -0.00916368 -3.44677 2.73644 3.58003 0 0 0.024583 1.14784e-17 -0.0153843 
77.7972 -0.00916358 -3.44677 2.73644 4.08368 0 0 0.024583 1.14784e-17 -0.0153843 
78.0629 -0.00916347 -3.44677 2.73644 4.65637 0 0 0.024583 1.14784e-17 -0.0153843 
78.3278 -0.00916333 -3.44677 2.73644 5.30728 0 0 0.024583 1.14784e-17 -0.0153843 
78.5919 -0.00916318 -3.44676 2.73643 6.04682 0 0 0.024583 1.14784e-17 -0.0153843 
78.8553 -0.00916302 -3.44676 2.73643 6.88673 0 0 0.024583 1.14784e-17 -0.0153843 
79.1178 -0.00916282 -3.44676 2.73643 7.84026 0 0 0.024583 1.14784e-17 -0.0153843 
79.3796 -0.0091626 -3.44676 2.73643 8.92237 0 0 0.024583 1.14784e-17 -0.0153843 
79.6406 -0.00916236 -3.44676 2.73643 10.1499 0 0 0.024583 1.14784e-17 -0.0153843 
79.9008 -0.00916208 -3.44676 2.73643 11.5419 0 0 0.024583 1.14784e-17 -0.0153843 
80.1602 -0.00916176 -3.44676 2.73643 13.1197 0 0 0.024583 1.14784e-17 -0.0153843 
80.4189 -0.0091614 -3.44676 2.73643 14.9075 0 0 0.024583 1.14784e-17 -0.0153843 
80.6767 -0.00916099 -3.44676 2.73643 16.9325 0 0 0.024583 1.14784e-17 -0.0153843 
80.9338 -0.00916052 -3.44676 2.73643 19.2253 0 0 0.024583 1.14784e-17 -0.0153843 
81.1902 -0.00916 -3.44676 2.73643 21.8202 0 0 0.024583 1.14784e-17 -0.0153843 
81.4457 -0.00915941 -3.44676 2.73643 24.756 0 0 0.024583 1.14784e-17 -0.0153843 
81.7005 -0.00915874 -3.44676 2.73643 28.0763 0 0 0.024583 1.14784e-17 -0.0153843 
81.9546 -0.00915798 -3.44676 2.73643 31.8299 0 0 0.024583 1.14784e-17 -0.0153843 
82.2079 -0.00915712 -3.44676 2.73643 36.0717 0 0 0.024583 1.14784e-17 -0.0153843 
82.4604 -0.00915615 -3.44676 2.73643 40.8637 0 0 0.024583 1.14784e-17 -0.0153843 
82.7122 -0.00915506 -3.44676 2.73643 46.2749 0 0 0.024583 1.14784e-17 -0.0153843 
82.9632 -0.00915383 -3.44676 2.73643 52.3833 0 0 0.024583 1.14784e-17 -0.0153843 
83.2135 -0.00915244 -3.44675 2.73642 59.2761 0 0 0.024583 1.14784e-17 -0.0153843 
83.463 -0.00915087 -3.44675 2.73642 67.051 0 0 0.024583 1.14784e-17 -0.0153843 
83.7117 -0.0091491 -3.44675 2.73642 75.8179 0 0 0.024583 1.14784e-17 -0.0153843 
83.9598 -0.0091471 -3.44675 2.73642 85.6996 0 0 0.024583 1.14784e-17 -0.0153843 
84.2071 -0.00914485 -3.44675 2.73642 96.8337 0 0 0.024583 1.14784e-17 -0.0153843 
84.4536 -0.00914232 -3.44674 2.73641 109.375 0 0 0.024583 1.14784e-17 -0.0153843 
84.6994 -0.00913947 -3.44674 2.73641 123.495 0 0 0.024583 1.14784e-17 -0.0153843 
84.9445 -0.00913626 -3.44674 2.73641 139.387 0 0 0.024583 1.14784e-17 -0.0153843 
85.1888 -0.00913265 -3.44673 2.7364 157.268 0 0 0.024583 1.14784e-17 -0.0153843 
85.4325 -0.00912859 -3.44673 2.7364 177.378 0 0 0.024583 1.14784e-17 -0.0153843 
85.6753 -0.00912402 -3.44673 2.7364 199.988 0 0 0.024583 1.14784e-17 -0.0153843 
85.9175 -0.00911889 -3.44672 2.73639 225.4 0 0 0.024583 1.14784e-17 -0.0153843 
