# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 eCurrentDensity_x
# 17 eCurrentDensity_y
# 18 eCurrentDensity_z
# 19 hCurrentDensity_x
# 20 hCurrentDensity_y
# 21 hCurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z 
585.29 0.014849 -3.85485 -6.25979e-05 -2.23284 1.26433e+18 1.36798e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.07783e-20 0 0 
591.395 0.0148484 -3.85486 -6.32508e-05 -2.23323 1.26433e+18 1.38862e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.14538e-20 0 0 
597.46 0.0148477 -3.85486 -6.38995e-05 -2.23362 1.26433e+18 1.40971e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.21351e-20 0 0 
603.485 0.0148471 -3.85486 -6.45438e-05 -2.23401 1.26433e+18 1.43126e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.28221e-20 0 0 
609.47 0.0148464 -3.85486 -6.51839e-05 -2.23441 1.26433e+18 1.45328e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.3515e-20 0 0 
615.415 0.0148458 -3.85486 -6.58198e-05 -2.2348 1.26433e+18 1.47578e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.4214e-20 0 0 
621.321 0.0148452 -3.85486 -6.64515e-05 -2.2352 1.26433e+18 1.49878e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.49192e-20 0 0 
627.188 0.0148445 -3.85486 -6.70789e-05 -2.23561 1.26433e+18 1.52227e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.56306e-20 0 0 
633.016 0.0148439 -3.85486 -6.77023e-05 -2.23601 1.26433e+18 1.54629e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.63485e-20 0 0 
638.805 0.0148433 -3.85486 -6.83215e-05 -2.23642 1.26433e+18 1.57084e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.70729e-20 0 0 
644.557 0.0148427 -3.85486 -6.89366e-05 -2.23683 1.26433e+18 1.59592e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.78039e-20 0 0 
650.27 0.0148421 -3.85486 -6.95476e-05 -2.23724 1.26433e+18 1.62157e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.85418e-20 0 0 
655.945 0.0148415 -3.85486 -7.01546e-05 -2.23766 1.26433e+18 1.64778e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.92865e-20 0 0 
661.583 0.0148409 -3.85486 -7.07576e-05 -2.23808 1.26433e+18 1.67457e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.00384e-20 0 0 
667.184 0.0148403 -3.85486 -7.13566e-05 -2.2385 1.26433e+18 1.70197e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.07974e-20 0 0 
672.747 0.0148397 -3.85486 -7.19516e-05 -2.23892 1.26433e+18 1.72997e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.15639e-20 0 0 
678.274 0.0148391 -3.85486 -7.25427e-05 -2.23934 1.26433e+18 1.7586e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.23378e-20 0 0 
683.764 0.0148385 -3.85486 -7.31299e-05 -2.23977 1.26433e+18 1.78788e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.31193e-20 0 0 
689.218 0.0148379 -3.85487 -7.37132e-05 -2.2402 1.26433e+18 1.81782e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.39086e-20 0 0 
694.636 0.0148373 -3.85487 -7.42926e-05 -2.24063 1.26433e+18 1.84843e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.47059e-20 0 0 
700.018 0.0148368 -3.85487 -7.48683e-05 -2.24107 1.26433e+18 1.87974e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.55113e-20 0 0 
705.364 0.0148362 -3.85487 -7.54401e-05 -2.2415 1.26433e+18 1.91175e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.6325e-20 0 0 
710.675 0.0148356 -3.85487 -7.60081e-05 -2.24194 1.26433e+18 1.9445e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.71471e-20 0 0 
715.951 0.014835 -3.85487 -7.65723e-05 -2.24239 1.26433e+18 1.978e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.79777e-20 0 0 
721.192 0.0148345 -3.85487 -7.71329e-05 -2.24283 1.26433e+18 2.01226e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.88171e-20 0 0 
726.398 0.0148339 -3.85487 -7.76897e-05 -2.24328 1.26433e+18 2.04732e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -6.96655e-20 0 0 
731.57 0.0148334 -3.85487 -7.82428e-05 -2.24373 1.26433e+18 2.08318e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.0523e-20 0 0 
736.708 0.0148328 -3.85487 -7.87923e-05 -2.24418 1.26433e+18 2.11988e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.13897e-20 0 0 
741.812 0.0148323 -3.85487 -7.93382e-05 -2.24463 1.26433e+18 2.15742e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.2266e-20 0 0 
746.882 0.0148317 -3.85487 -7.98804e-05 -2.24509 1.26433e+18 2.19584e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.31519e-20 0 0 
751.918 0.0148312 -3.85487 -8.04191e-05 -2.24555 1.26433e+18 2.23517e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.40476e-20 0 0 
