# ASCII 1D datafile generated by TiberCAD
# x LatticeTemp ThermalFlux_x ThermalFlux_y ThermalFlux_z HeatSource ThermCond_x ThermCond_y ThermCond_z 
-117.356 305.793 -75.935 0 0 620.208 1.5 1.5 1.5 
-116.152 305.799 -75.86 0 0 627.243 1.5 1.5 1.5 
-114.96 305.805 -75.7848 0 0 634.63 1.5 1.5 1.5 
-113.78 305.811 -75.7094 0 0 642.384 1.5 1.5 1.5 
-112.612 305.817 -75.6339 0 0 650.518 1.5 1.5 1.5 
-111.456 305.823 -75.5582 0 0 659.045 1.5 1.5 1.5 
-110.31 305.829 -75.4822 0 0 667.979 1.5 1.5 1.5 
-109.177 305.835 -75.4059 0 0 677.334 1.5 1.5 1.5 
-108.054 305.84 -75.3293 0 0 687.126 1.5 1.5 1.5 
-106.943 305.846 -75.2524 0 0 697.368 1.5 1.5 1.5 
-105.842 305.851 -75.1751 0 0 708.075 1.5 1.5 1.5 
-104.753 305.857 -75.0973 0 0 719.264 1.5 1.5 1.5 
-103.674 305.862 -75.0191 0 0 730.947 1.5 1.5 1.5 
-102.606 305.867 -74.9404 0 0 743.143 1.5 1.5 1.5 
-101.549 305.873 -74.8611 0 0 755.865 1.5 1.5 1.5 
-100.502 305.878 -74.7813 0 0 769.13 1.5 1.5 1.5 
-99.4655 305.883 -74.7009 0 0 782.955 1.5 1.5 1.5 
-98.4392 305.888 -74.6198 0 0 797.354 1.5 1.5 1.5 
-97.4232 305.893 -74.538 0 0 812.345 1.5 1.5 1.5 
-96.4172 305.898 -74.4555 0 0 827.944 1.5 1.5 1.5 
-95.4212 305.903 -74.3722 0 0 844.168 1.5 1.5 1.5 
-94.4351 305.908 -74.2882 0 0 861.034 1.5 1.5 1.5 
-93.4587 305.913 -74.2032 0 0 878.558 1.5 1.5 1.5 
-92.4921 305.918 -74.1174 0 0 896.757 1.5 1.5 1.5 
-91.535 305.922 -74.0307 0 0 915.649 1.5 1.5 1.5 
-90.5874 305.927 -73.943 0 0 935.251 1.5 1.5 1.5 
-89.6492 305.932 -73.8543 0 0 955.58 1.5 1.5 1.5 
-88.7204 305.936 -73.7646 0 0 976.652 1.5 1.5 1.5 
-87.8007 305.941 -73.6738 0 0 998.487 1.5 1.5 1.5 
-86.8901 305.945 -73.5818 0 0 1021.1 1.5 1.5 1.5 
-85.9886 305.95 -73.4887 0 0 1044.51 1.5 1.5 1.5 
-85.096 305.954 -73.3944 0 0 1068.73 1.5 1.5 1.5 
-84.2123 305.958 -73.2989 0 0 1093.79 1.5 1.5 1.5 
-83.3373 305.963 -73.202 0 0 1119.69 1.5 1.5 1.5 
-82.4711 305.967 -73.1039 0 0 1146.45 1.5 1.5 1.5 
-81.6134 305.971 -73.0044 0 0 1174.1 1.5 1.5 1.5 
-80.7642 305.975 -72.9034 0 0 1202.65 1.5 1.5 1.5 
-79.9234 305.979 -72.8011 0 0 1232.12 1.5 1.5 1.5 
-79.091 305.983 -72.6973 0 0 1262.52 1.5 1.5 1.5 
-78.2668 305.987 -72.5919 0 0 1293.87 1.5 1.5 1.5 
-77.4508 305.991 -72.485 0 0 1326.19 1.5 1.5 1.5 
-76.6429 305.995 -72.3765 0 0 1359.49 1.5 1.5 1.5 
-75.843 305.999 -72.2664 0 0 1393.79 1.5 1.5 1.5 
-75.051 306.003 -72.1546 0 0 1429.11 1.5 1.5 1.5 
-74.2669 306.007 -72.0412 0 0 1465.46 1.5 1.5 1.5 
-73.4906 306.01 -71.926 0 0 1502.85 1.5 1.5 1.5 
-72.7219 306.014 -71.809 0 0 1541.32 1.5 1.5 1.5 
