# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# 8 Stress_11
# 9 Stress_22
# 10 Stress_33
# 11 Stress_12
# 12 Stress_23
# 13 Stress_13
# 14 Displacement_x
# 15 Displacement_y
# 16 Displacement_z
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 Stress_11 Stress_22 Stress_33 Stress_12 Stress_23 Stress_13 Displacement_x Displacement_y Displacement_z 
-2.17172 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.1402e-13 -3.25682 -3.25682 0 -1.81167e-14 0 4.364e-11 0 0 
-2.07071 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.02807e-13 -3.25682 -3.25682 0 -1.81167e-14 0 4.51985e-11 0 0 
-1.9697 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.02807e-13 -3.25682 -3.25682 0 -1.81167e-14 0 4.67571e-11 0 0 
-1.86869 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.02807e-13 -3.25682 -3.25682 0 -1.81167e-14 0 4.83157e-11 0 0 
-1.76768 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -9.15934e-14 -3.25682 -3.25682 0 -1.81167e-14 0 4.98742e-11 0 0 
-1.66667 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.25344e-13 -3.25682 -3.25682 0 -1.81167e-14 0 5.14328e-11 0 0 
-1.56566 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.81632e-13 -3.25682 -3.25682 0 -1.81167e-14 0 5.29914e-11 0 0 
-1.46465 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.81632e-13 -3.25682 -3.25682 0 -1.81167e-14 0 5.455e-11 0 0 
-1.36364 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.81632e-13 -3.25682 -3.25682 0 -1.81167e-14 0 5.61085e-11 0 0 
-1.26263 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.0417e-13 -3.25682 -3.25682 0 -1.81167e-14 0 5.76671e-11 0 0 
-1.16162 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.81632e-13 -3.25682 -3.25682 0 -1.81167e-14 0 5.92257e-11 0 0 
-1.06061 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.04059e-13 -3.25682 -3.25682 0 -1.81167e-14 0 6.07842e-11 0 0 
-0.959596 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.93987e-13 -3.25682 -3.25682 0 -1.81167e-14 0 6.23428e-11 0 0 
-0.858586 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.83915e-13 -3.25682 -3.25682 0 -1.81167e-14 0 6.39014e-11 0 0 
-0.757576 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -4.06453e-13 -3.25682 -3.25682 0 -1.81167e-14 0 6.54599e-11 0 0 
-0.656566 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -4.06453e-13 -3.25682 -3.25682 0 -1.81167e-14 0 6.70185e-11 0 0 
-0.555556 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -4.73843e-13 -3.25682 -3.25682 0 -1.81167e-14 0 6.85771e-11 0 0 
-0.454545 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -5.18807e-13 -3.25682 -3.25682 0 -1.81167e-14 0 7.01357e-11 0 0 
-0.353535 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -4.9627e-13 -3.25682 -3.25682 0 -1.81167e-14 0 7.16942e-11 0 0 
-0.252525 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -4.51306e-13 -3.25682 -3.25682 0 -1.81167e-14 0 7.32528e-11 0 0 
-0.151515 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -4.28879e-13 -3.25682 -3.25682 0 -1.81167e-14 0 7.48114e-11 0 0 
-0.0505051 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.61378e-13 -3.25682 -3.25682 0 -1.81167e-14 0 7.63699e-11 0 0 
0.0505051 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.61378e-13 -3.25682 -3.25682 0 -1.81167e-14 0 7.79285e-11 0 0 
0.151515 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.83915e-13 -3.25682 -3.25682 0 -1.81167e-14 0 7.94871e-11 0 0 
0.252525 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 8.10456e-11 0 0 
0.353535 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.93987e-13 -3.25682 -3.25682 0 -1.81167e-14 0 8.26042e-11 0 0 
0.454545 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.93987e-13 -3.25682 -3.25682 0 -1.81167e-14 0 8.41628e-11 0 0 
0.555556 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.16414e-13 -3.25682 -3.25682 0 -1.81167e-14 0 8.57214e-11 0 0 
0.656566 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.49023e-13 -3.25682 -3.25682 0 -1.81167e-14 0 8.72799e-11 0 0 
0.757576 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.26597e-13 -3.25682 -3.25682 0 -1.81167e-14 0 8.88385e-11 0 0 
0.858586 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.7145e-13 -3.25682 -3.25682 0 -1.81167e-14 0 9.03971e-11 0 0 
0.959596 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.7145e-13 -3.25682 -3.25682 0 -1.81167e-14 0 9.19556e-11 0 0 
1.06061 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.7145e-13 -3.25682 -3.25682 0 -1.81167e-14 0 9.35142e-11 0 0 
1.16162 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.93876e-13 -3.25682 -3.25682 0 -1.81167e-14 0 9.50728e-11 0 0 
1.26263 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.93876e-13 -3.25682 -3.25682 0 -1.81167e-14 0 9.66313e-11 0 0 
1.36364 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.49023e-13 -3.25682 -3.25682 0 -1.81167e-14 0 9.81899e-11 0 0 
1.46465 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.71561e-13 -3.25682 -3.25682 0 -1.81167e-14 0 9.97485e-11 0 0 
