# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential Eg eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z CurrentDensity_x CurrentDensity_y CurrentDensity_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors NetRecombination SRHRecombination AugerRecombination OpticalGeneration 
-0.37145 0.042511 -1.0763 1.29803e-07 -0.59971 2.18097 1.11881 4.96051e+18 5.18469e+11 108.05 73.1287 0.00203454 0 0 0.174677 0 0 0.173115 0 0 0.00156221 0 0 4.96051e+18 0 -8.26978e+20 1.72996e+20 2.59329e+16 -1e+21 
-0.36278 0.042511 -1.0763 1.3155e-07 -0.599478 2.18097 1.11881 4.96051e+18 5.13833e+11 108.05 73.125 0.00203458 0 0 0.174677 0 0 0.173 0 0 0.00167719 0 0 4.96051e+18 0 -8.28525e+20 1.71449e+20 2.5701e+16 -1e+21 
-0.354266 0.042511 -1.0763 1.33265e-07 -0.599232 2.18097 1.11881 4.96051e+18 5.08959e+11 108.05 73.1211 0.00203461 0 0 0.174677 0 0 0.172887 0 0 0.00179033 0 0 4.96051e+18 0 -8.30152e+20 1.69823e+20 2.54573e+16 -1e+21 
-0.345904 0.042511 -1.0763 1.34948e-07 -0.598971 2.18097 1.11881 4.96051e+18 5.03863e+11 108.05 73.1171 0.00203464 0 0 0.174677 0 0 0.172776 0 0 0.00190165 0 0 4.96051e+18 0 -8.31853e+20 1.68122e+20 2.52024e+16 -1e+21 
-0.337693 0.042511 -1.0763 1.36599e-07 -0.598698 2.18097 1.11881 4.96051e+18 4.98558e+11 108.05 73.113 0.00203467 0 0 0.174677 0 0 0.172666 0 0 0.00201121 0 0 4.96051e+18 0 -8.33623e+20 1.66352e+20 2.4937e+16 -1e+21 
-0.329629 0.042511 -1.0763 1.3822e-07 -0.598411 2.18097 1.11881 4.96051e+18 4.93059e+11 108.05 73.1088 0.0020347 0 0 0.174677 0 0 0.172558 0 0 0.00211903 0 0 4.96051e+18 0 -8.35458e+20 1.64517e+20 2.4662e+16 -1e+21 
-0.32171 0.042511 -1.0763 1.39811e-07 -0.598112 2.18097 1.11881 4.96051e+18 4.87379e+11 108.05 73.1045 0.00203473 0 0 0.174677 0 0 0.172452 0 0 0.00222515 0 0 4.96051e+18 0 -8.37354e+20 1.62622e+20 2.43779e+16 -1e+21 
-0.313934 0.042511 -1.0763 1.41372e-07 -0.597799 2.18097 1.11881 4.96051e+18 4.8153e+11 108.05 73.1 0.00203476 0 0 0.174677 0 0 0.172348 0 0 0.0023296 0 0 4.96051e+18 0 -8.39305e+20 1.60671e+20 2.40853e+16 -1e+21 
-0.306297 0.042511 -1.0763 1.42904e-07 -0.597475 2.18097 1.11881 4.96051e+18 4.75525e+11 108.05 73.0954 0.00203479 0 0 0.174677 0 0 0.172245 0 0 0.00243241 0 0 4.96051e+18 0 -8.41309e+20 1.58667e+20 2.37849e+16 -1e+21 
-0.298797 0.042511 -1.0763 1.44408e-07 -0.597138 2.18097 1.11881 4.96051e+18 4.69374e+11 108.05 73.0907 0.00203482 0 0 0.174677 0 0 0.172144 0 0 0.00253363 0 0 4.96051e+18 0 -8.43362e+20 1.56614e+20 2.34773e+16 -1e+21 
-0.291432 0.042511 -1.0763 1.45884e-07 -0.59679 2.18097 1.11881 4.96051e+18 4.63089e+11 108.05 73.0858 0.00203485 0 0 0.174677 0 0 0.172044 0 0 0.00263327 0 0 4.96051e+18 0 -8.45459e+20 1.54517e+20 2.31629e+16 -1e+21 
