# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 CurrentDensity_x
# 17 CurrentDensity_y
# 18 CurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-9.207 0.0576899 -1.83896 -0.0215601 -1.74417 8.49203e+17 4.54584e+17 6116.11 284.124 -21346.5 0 0 0 0 0 -569920 0 0 
-8.73906 0.0566264 -1.84002 -0.0215893 -1.74425 8.97264e+17 4.56461e+17 6116.11 284.124 -24271.2 0 0 0 0 0 -569920 0 0 
-8.3123 0.0555305 -1.84112 -0.0216144 -1.74432 9.55735e+17 4.65618e+17 6116.11 284.124 -27244.1 0 0 0 0 0 -569920 0 0 
-7.92309 0.0544146 -1.84223 -0.0216358 -1.74439 1.02766e+18 4.84496e+17 6116.11 284.124 -30254 0 0 0 0 0 -569920 0 0 
-7.56812 0.0532894 -1.84336 -0.0216539 -1.74444 1.11693e+18 5.1589e+17 6116.11 284.124 -33294.3 0 0 0 0 0 -569920 0 0 
-7.24439 0.0521644 -1.84448 -0.0216689 -1.74449 1.22823e+18 5.62979e+17 6116.11 284.124 -36363.4 0 0 0 0 0 -569920 0 0 
-6.94914 0.0510474 -1.8456 -0.0216814 -1.74453 1.36692e+18 6.29353e+17 6116.11 284.124 -39464.6 0 0 0 0 0 -569920 0 0 
-6.67987 0.0499447 -1.8467 -0.0216915 -1.74456 1.53873e+18 7.19016e+17 6116.11 284.124 -42604.8 0 0 0 0 0 -569920 0 0 
-6.4343 0.0488614 -1.84779 -0.0216996 -1.74458 1.74946e+18 8.36366e+17 6116.11 284.124 -45791.8 0 0 0 0 0 -569920 0 0 
-6.21033 0.0478015 -1.84885 -0.0217061 -1.7446 2.00454e+18 9.86112e+17 6116.11 284.124 -49031.9 0 0 0 0 0 -569920 0 0 
-6.00607 0.0467681 -1.84988 -0.0217113 -1.74462 2.30866e+18 1.17315e+18 6116.11 284.124 -52327.6 0 0 0 0 0 -569920 0 0 
