# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-7.68844 -0.0239427 -1.44642 0 0 3.62259e+17 8.17821e-06 8066.54 350.526 47782 0 0 0 0 0 0 0 0 
-7.58794 -0.0234651 -1.44595 0 0 3.71769e+17 8.33072e-06 8066.54 350.526 47265.9 0 0 0 0 0 0 0 0 
-7.48744 -0.0229927 -1.44547 0 0 3.80893e+17 8.48435e-06 8066.54 350.526 46736.6 0 0 0 0 0 0 0 0 
-7.38693 -0.0225256 -1.44501 0 0 3.89621e+17 8.63901e-06 8066.54 350.526 46194.9 0 0 0 0 0 0 0 0 
-7.28643 -0.0220641 -1.44455 0 0 3.97943e+17 8.79462e-06 8066.54 350.526 45641.1 0 0 0 0 0 0 0 0 
-7.18593 -0.0216082 -1.44409 0 0 4.05852e+17 8.95109e-06 8066.54 350.526 45076 0 0 0 0 0 0 0 0 
-7.08543 -0.0211581 -1.44364 0 0 4.13342e+17 9.10832e-06 8066.54 350.526 44500 0 0 0 0 0 0 0 0 
-6.98492 -0.0207138 -1.4432 0 0 4.2041e+17 9.26622e-06 8066.54 350.526 43913.8 0 0 0 0 0 0 0 0 
-6.88442 -0.0202754 -1.44276 0 0 4.27054e+17 9.42468e-06 8066.54 350.526 43317.9 0 0 0 0 0 0 0 0 
-6.78392 -0.0198431 -1.44233 0 0 4.33275e+17 9.58362e-06 8066.54 350.526 42713 0 0 0 0 0 0 0 0 
-6.68342 -0.0194168 -1.4419 0 0 4.39074e+17 9.74293e-06 8066.54 350.526 42099.6 0 0 0 0 0 0 0 0 
-6.58291 -0.0189968 -1.44148 0 0 4.44455e+17 9.90252e-06 8066.54 350.526 41478.4 0 0 0 0 0 0 0 0 
-6.48241 -0.0185831 -1.44107 0 0 4.4942e+17 1.00623e-05 8066.54 350.526 40849.9 0 0 0 0 0 0 0 0 
