# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 
441.441 -5.89409e-15 0 0 0 0 0 
442.943 -5.89409e-15 0 0 0 0 0 
444.444 -5.89409e-15 0 0 0 0 0 
445.946 -5.89409e-15 0 0 0 0 0 
447.447 -5.89409e-15 0 0 0 0 0 
448.949 -5.89409e-15 0 0 0 0 0 
450.45 -5.89409e-15 0 0 0 0 0 
451.952 -5.89409e-15 0 0 0 0 0 
453.453 -5.89409e-15 0 0 0 0 0 
454.955 -5.89409e-15 0 0 0 0 0 
456.456 -5.89409e-15 0 0 0 0 0 
457.958 -5.89409e-15 0 0 0 0 0 
459.459 -5.89409e-15 0 0 0 0 0 
460.961 -5.89409e-15 0 0 0 0 0 
462.462 -5.89409e-15 0 0 0 0 0 
463.964 -5.89409e-15 0 0 0 0 0 
465.465 -5.89409e-15 0 0 0 0 0 
466.967 -5.89409e-15 0 0 0 0 0 
468.468 -5.89409e-15 0 0 0 0 0 
469.97 -5.89409e-15 0 0 0 0 0 
471.471 -5.89409e-15 0 0 0 0 0 
472.973 -5.89409e-15 0 0 0 0 0 
474.474 -5.89409e-15 0 0 0 0 0 
475.976 -5.89409e-15 0 0 0 0 0 
477.477 -5.89409e-15 0 0 0 0 0 
478.979 -5.89409e-15 0 0 0 0 0 
480.48 -5.89409e-15 0 0 0 0 0 
481.982 -5.89409e-15 0 0 0 0 0 
483.483 -5.89409e-15 0 0 0 0 0 
484.985 -5.89409e-15 0 0 0 0 0 
486.486 -5.89409e-15 0 0 0 0 0 
487.988 -5.89409e-15 0 0 0 0 0 
489.489 -5.89409e-15 0 0 0 0 0 
490.991 -5.89409e-15 0 0 0 0 0 
492.492 -5.89409e-15 0 0 0 0 0 
493.994 -5.89409e-15 0 0 0 0 0 
495.495 -5.89409e-15 0 0 0 0 0 
496.997 -5.89409e-15 0 0 0 0 0 
498.498 -5.89409e-15 0 0 0 0 0 
500 -5.89409e-15 0 0 0 0 0 
500 -5.89409e-15 0 0 0 0 0 
501.492 -5.89409e-15 0 0 0 0 0 
502.964 -5.89409e-15 0 0 0 0 0 
504.416 -5.89409e-15 0 0 0 0 0 
505.848 -5.89409e-15 0 0 0 0 0 
507.261 -5.89409e-15 0 0 0 0 0 
508.654 -5.89409e-15 0 0 0 0 0 
510.029 -5.89409e-15 0 0 0 0 0 
511.384 -5.89409e-15 0 0 0 0 0 
512.722 -5.89409e-15 0 0 0 0 0 
514.041 -5.89409e-15 0 0 0 0 0 
515.342 -5.89409e-15 0 0 0 0 0 
516.625 -5.89409e-15 0 0 0 0 0 
517.891 -5.89409e-15 0 0 0 0 0 
519.14 -5.89409e-15 0 0 0 0 0 
520.371 -5.89409e-15 0 0 0 0 0 
521.586 -5.89409e-15 0 0 0 0 0 
522.785 -5.89409e-15 0 0 0 0 0 
523.967 -5.89409e-15 0 0 0 0 0 
525.133 -5.89409e-15 0 0 0 0 0 
526.283 -5.89409e-15 0 0 0 0 0 
527.417 -5.89409e-15 0 0 0 0 0 
528.536 -5.89409e-15 0 0 0 0 0 
529.64 -5.89409e-15 0 0 0 0 0 
530.729 -5.89409e-15 0 0 0 0 0 
531.802 -5.89409e-15 0 0 0 0 0 
532.862 -5.89409e-15 0 0 0 0 0 
533.907 -5.89409e-15 0 0 0 0 0 
534.937 -5.89409e-15 0 0 0 0 0 
535.954 -5.89409e-15 0 0 0 0 0 
536.957 -5.89409e-15 0 0 0 0 0 
537.946 -5.89409e-15 0 0 0 0 0 
538.921 -5.89409e-15 0 0 0 0 0 
539.884 -5.89409e-15 0 0 0 0 0 
540.833 -5.89409e-15 0 0 0 0 0 
541.769 -5.89409e-15 0 0 0 0 0 
542.693 -5.89409e-15 0 0 0 0 0 
543.604 -5.89409e-15 0 0 0 0 0 
544.503 -5.89409e-15 0 0 0 0 0 
545.389 -5.89409e-15 0 0 0 0 0 
546.263 -5.89409e-15 0 0 0 0 0 
547.126 -5.89409e-15 0 0 0 0 0 
547.977 -5.89409e-15 0 0 0 0 0 
548.816 -5.89409e-15 0 0 0 0 0 
549.643 -5.89409e-15 0 0 0 0 0 
550.46 -5.89409e-15 0 0 0 0 0 
551.265 -5.89409e-15 0 0 0 0 0 
552.059 -5.89409e-15 0 0 0 0 0 
552.843 -5.89409e-15 0 0 0 0 0 
553.616 -5.89409e-15 0 0 0 0 0 
554.378 -5.89409e-15 0 0 0 0 0 
555.13 -5.89409e-15 0 0 0 0 0 
555.872 -5.89409e-15 0 0 0 0 0 
556.603 -5.89409e-15 0 0 0 0 0 
557.325 -5.89409e-15 0 0 0 0 0 
558.037 -5.89409e-15 0 0 0 0 0 
558.739 -5.89409e-15 0 0 0 0 0 
559.432 -5.89409e-15 0 0 0 0 0 
560.115 -5.89409e-15 0 0 0 0 0 
560.789 -5.89409e-15 0 0 0 0 0 
561.453 -5.89409e-15 0 0 0 0 0 
562.109 -5.89409e-15 0 0 0 0 0 
562.756 -5.89409e-15 0 0 0 0 0 
563.394 -5.89409e-15 0 0 0 0 0 
564.023 -5.89409e-15 0 0 0 0 0 
564.644 -5.89409e-15 0 0 0 0 0 
565.256 -5.89409e-15 0 0 0 0 0 
565.86 -5.89409e-15 0 0 0 0 0 
566.455 -5.89409e-15 0 0 0 0 0 
567.043 -5.89409e-15 0 0 0 0 0 
567.622 -5.89409e-15 0 0 0 0 0 
568.194 -5.89409e-15 0 0 0 0 0 
568.758 -5.89409e-15 0 0 0 0 0 
569.314 -5.89409e-15 0 0 0 0 0 
569.863 -5.89409e-15 0 0 0 0 0 
570.404 -5.89409e-15 0 0 0 0 0 
570.938 -5.89409e-15 0 0 0 0 0 
571.464 -5.89409e-15 0 0 0 0 0 
571.984 -5.89409e-15 0 0 0 0 0 
572.496 -5.89409e-15 0 0 0 0 0 
573.001 -5.89409e-15 0 0 0 0 0 
573.5 -5.89409e-15 0 0 0 0 0 
573.991 -5.89409e-15 0 0 0 0 0 
